f,S21
204,0.998891053
205,0.998878759
206,0.998866395
207,0.998853963
208,0.998841463
209,0.998828894
210,0.998816256
211,0.998803549
212,0.998790775
213,0.998777932
214,0.998765021
215,0.998752042
216,0.998738995
217,0.998725879
218,0.998712697
219,0.998699446
220,0.998686128
221,0.998672742
222,0.998659289
223,0.998645769
224,0.998632181
225,0.998618526
226,0.998604805
227,0.998591016
228,0.998577161
229,0.998563239
230,0.998549251
231,0.998535196
232,0.998521075
233,0.998506888
234,0.998492634
235,0.998478315
236,0.99846393
237,0.99844948
238,0.998434963
239,0.998420382
240,0.998405735
241,0.998391023
242,0.998376246
243,0.998361403
244,0.998346497
245,0.998331525
246,0.998316489
247,0.998301389
248,0.998286225
249,0.998270996
250,0.998255704
251,0.998240348
252,0.998224928
253,0.998209444
254,0.998193898
255,0.998178288
256,0.998162615
257,0.998146879
258,0.99813108
259,0.998115219
260,0.998099296
261,0.99808331
262,0.998067262
263,0.998051152
264,0.99803498
265,0.998018747
266,0.998002452
267,0.997986095
268,0.997969678
269,0.9979532
270,0.99793666
271,0.99792006
272,0.9979034
273,0.997886679
274,0.997869898
275,0.997853057
276,0.997836157
277,0.997819196
278,0.997802176
279,0.997785097
280,0.997767959
281,0.997750762
282,0.997733506
283,0.997716191
284,0.997698818
285,0.997681387
286,0.997663897
287,0.99764635
288,0.997628745
289,0.997611083
290,0.997593363
291,0.997575586
292,0.997557752
293,0.997539861
294,0.997521914
295,0.99750391
296,0.99748585
297,0.997467734
298,0.997449562
299,0.997431335
300,0.997413052
301,0.997394714
302,0.99737632
303,0.997357872
304,0.997339369
305,0.997320812
306,0.9973022
307,0.997283535
308,0.997264815
309,0.997246041
310,0.997227214
311,0.997208334
312,0.997189401
313,0.997170414
314,0.997151375
315,0.997132284
316,0.99711314
317,0.997093944
318,0.997074696
319,0.997055396
320,0.997036045
321,0.997016642
322,0.996997188
323,0.996977684
324,0.996958128
325,0.996938523
326,0.996918866
327,0.99689916
328,0.996879404
329,0.996859598
330,0.996839743
331,0.996819838
332,0.996799885
333,0.996779882
334,0.996759831
335,0.996739731
336,0.996719583
337,0.996699387
338,0.996679143
339,0.996658852
340,0.996638513
341,0.996618127
342,0.996597694
343,0.996577214
344,0.996556688
345,0.996536115
346,0.996515496
347,0.996494832
348,0.996474121
349,0.996453365
350,0.996432564
351,0.996411717
352,0.996390826
353,0.99636989
354,0.996348909
355,0.996327884
356,0.996306816
357,0.996285703
358,0.996264547
359,0.996243347
360,0.996222104
361,0.996200818
362,0.99617949
363,0.996158118
364,0.996136705
365,0.996115249
366,0.996093751
367,0.996072212
368,0.996050631
369,0.996029009
370,0.996007346
371,0.995985642
372,0.995963897
373,0.995942112
374,0.995920286
375,0.995898421
376,0.995876516
377,0.995854571
378,0.995832586
379,0.995810563
380,0.995788501
381,0.995766399
382,0.99574426
383,0.995722082
384,0.995699866
385,0.995677611
386,0.99565532
387,0.99563299
388,0.995610624
389,0.99558822
390,0.99556578
391,0.995543303
392,0.995520789
393,0.995498239
394,0.995475653
395,0.995453031
396,0.995430374
397,0.995407681
398,0.995384954
399,0.995362191
400,0.995339393
401,0.995316561
402,0.995293694
403,0.995270793
404,0.995247858
405,0.99522489
406,0.995201888
407,0.995178852
408,0.995155784
409,0.995132682
410,0.995109548
411,0.995086381
412,0.995063182
413,0.995039951
414,0.995016688
415,0.994993393
416,0.994970067
417,0.994946709
418,0.994923321
419,0.994899901
420,0.994876451
421,0.99485297
422,0.994829459
423,0.994805917
424,0.994782346
425,0.994758745
426,0.994735115
427,0.994711455
428,0.994687766
429,0.994664048
430,0.994640302
431,0.994616527
432,0.994592724
433,0.994568892
434,0.994545033
435,0.994521145
436,0.994497231
437,0.994473289
438,0.994449319
439,0.994425323
440,0.9944013
441,0.99437725
442,0.994353174
443,0.994329072
444,0.994304944
445,0.99428079
446,0.99425661
447,0.994232405
448,0.994208175
449,0.994183919
450,0.994159639
451,0.994135333
452,0.994111004
453,0.99408665
454,0.994062272
455,0.99403787
456,0.994013444
457,0.993988994
458,0.993964521
459,0.993940025
460,0.993915506
461,0.993890964
462,0.993866399
463,0.993841812
464,0.993817202
465,0.993792571
466,0.993767917
467,0.993743242
468,0.993718544
469,0.993693826
470,0.993669086
471,0.993644325
472,0.993619543
473,0.993594741
474,0.993569918
475,0.993545074
476,0.99352021
477,0.993495327
478,0.993470423
479,0.9934455
480,0.993420557
481,0.993395594
482,0.993370613
483,0.993345612
484,0.993320593
485,0.993295555
486,0.993270498
487,0.993245423
488,0.99322033
489,0.993195219
490,0.99317009
491,0.993144943
492,0.993119779
493,0.993094597
494,0.993069399
495,0.993044183
496,0.99301895
497,0.9929937
498,0.992968434
499,0.992943152
500,0.992917853
501,0.992892538
502,0.992867207
503,0.99284186
504,0.992816498
505,0.99279112
506,0.992765727
507,0.992740319
508,0.992714896
509,0.992689458
510,0.992664005
511,0.992638538
512,0.992613056
513,0.99258756
514,0.99256205
515,0.992536526
516,0.992510988
517,0.992485436
518,0.992459871
519,0.992434293
520,0.992408701
521,0.992383096
522,0.992357478
523,0.992331848
524,0.992306205
525,0.992280549
526,0.992254881
527,0.992229201
528,0.992203509
529,0.992177804
530,0.992152088
531,0.992126361
532,0.992100621
533,0.992074871
534,0.992049109
535,0.992023336
536,0.991997552
537,0.991971757
538,0.991945952
539,0.991920136
540,0.991894309
541,0.991868472
542,0.991842625
543,0.991816768
