f,S21
0.321,0.997500411
0.322,0.997484809
0.323,0.997469184
0.324,0.997453539
0.325,0.997437871
0.326,0.997422183
0.327,0.997406474
0.328,0.997390744
0.329,0.997374994
0.33,0.997359224
0.331,0.997343433
0.332,0.997327623
0.333,0.997311794
0.334,0.997295945
0.335,0.997280077
0.336,0.99726419
0.337,0.997248284
0.338,0.99723236
0.339,0.997216418
0.34,0.997200458
0.341,0.99718448
0.342,0.997168484
0.343,0.997152471
0.344,0.99713644
0.345,0.997120393
0.346,0.997104329
0.347,0.997088248
0.348,0.997072151
0.349,0.997056038
0.35,0.997039909
0.351,0.997023764
0.352,0.997007603
0.353,0.996991427
0.354,0.996975236
0.355,0.99695903
0.356,0.996942808
0.357,0.996926573
0.358,0.996910323
0.359,0.996894058
0.36,0.99687778
0.361,0.996861487
0.362,0.996845181
0.363,0.996828862
0.364,0.996812529
0.365,0.996796182
0.366,0.996779823
0.367,0.996763451
0.368,0.996747067
0.369,0.99673067
0.37,0.99671426
0.371,0.996697839
0.372,0.996681406
0.373,0.996664961
0.374,0.996648504
0.375,0.996632036
0.376,0.996615556
0.377,0.996599066
0.378,0.996582564
0.379,0.996566052
0.38,0.996549529
0.381,0.996532996
0.382,0.996516452
0.383,0.996499899
0.384,0.996483335
0.385,0.996466762
0.386,0.996450179
0.387,0.996433586
0.388,0.996416984
0.389,0.996400373
0.39,0.996383753
0.391,0.996367124
0.392,0.996350486
0.393,0.996333839
0.394,0.996317185
0.395,0.996300521
0.396,0.99628385
0.397,0.996267171
0.398,0.996250484
0.399,0.996233789
0.4,0.996217086
0.401,0.996200377
0.402,0.996183659
0.403,0.996166935
0.404,0.996150204
0.405,0.996133465
0.406,0.996116721
0.407,0.996099969
0.408,0.996083211
0.409,0.996066446
0.41,0.996049676
0.411,0.996032899
0.412,0.996016116
0.413,0.995999328
0.414,0.995982534
0.415,0.995965734
0.416,0.995948929
0.417,0.995932118
0.418,0.995915303
0.419,0.995898482
0.42,0.995881656
0.421,0.995864826
0.422,0.995847991
0.423,0.995831151
0.424,0.995814306
0.425,0.995797458
0.426,0.995780605
0.427,0.995763748
0.428,0.995746887
0.429,0.995730022
0.43,0.995713154
0.431,0.995696282
0.432,0.995679406
0.433,0.995662527
0.434,0.995645644
0.435,0.995628758
0.436,0.99561187
0.437,0.995594978
0.438,0.995578083
0.439,0.995561186
0.44,0.995544286
0.441,0.995527383
0.442,0.995510478
0.443,0.99549357
0.444,0.995476661
0.445,0.995459749
0.446,0.995442835
0.447,0.995425919
0.448,0.995409001
