f,S21
350,0.967959532
351,0.967778298
352,0.967596859
353,0.967415218
354,0.967233377
355,0.967051338
356,0.966869103
357,0.966686676
358,0.966504058
359,0.966321251
360,0.966138259
361,0.965955082
362,0.965771724
363,0.965588187
364,0.965404472
365,0.965220583
366,0.965036521
367,0.964852289
368,0.964667889
369,0.964483322
370,0.964298592
371,0.9641137
372,0.963928648
373,0.963743439
374,0.963558075
375,0.963372557
376,0.963186889
377,0.963001071
378,0.962815106
379,0.962628996
380,0.962442744
381,0.96225635
382,0.962069818
383,0.961883149
384,0.961696345
385,0.961509408
386,0.96132234
387,0.961135143
388,0.960947819
389,0.96076037
390,0.960572798
391,0.960385104
392,0.960197291
393,0.960009361
394,0.959821315
395,0.959633155
396,0.959444883
397,0.959256502
398,0.959068011
399,0.958879415
400,0.958690714
401,0.958501909
402,0.958313004
403,0.958123999
404,0.957934897
405,0.957745699
406,0.957556407
407,0.957367022
408,0.957177547
409,0.956987983
410,0.956798331
411,0.956608594
412,0.956418773
413,0.956228869
414,0.956038885
415,0.955848821
416,0.955658681
417,0.955468464
418,0.955278173
419,0.95508781
420,0.954897375
421,0.954706871
422,0.9545163
423,0.954325661
424,0.954134958
425,0.953944192
426,0.953753363
427,0.953562475
428,0.953371527
429,0.953180522
430,0.952989462
431,0.952798347
432,0.952607179
433,0.952415959
434,0.95222469
435,0.952033371
436,0.951842006
437,0.951650595
438,0.951459139
439,0.95126764
440,0.9510761
441,0.950884519
442,0.9506929
443,0.950501242
444,0.950309549
445,0.95011782
446,0.949926058
447,0.949734264
448,0.949542439
449,0.949350583
450,0.9491587
451,0.948966789
452,0.948774853
453,0.948582891
454,0.948390907
455,0.9481989
456,0.948006872
457,0.947814825
458,0.947622759
459,0.947430676
460,0.947238577
461,0.947046463
462,0.946854335
463,0.946662194
464,0.946470042
465,0.94627788
466,0.946085709
467,0.945893529
468,0.945701343
469,0.945509151
470,0.945316955
471,0.945124755
472,0.944932553
473,0.944740349
474,0.944548145
475,0.944355941
476,0.94416374
477,0.943971542
478,0.943779347
479,0.943587158
480,0.943394974
481,0.943202798
482,0.94301063
483,0.94281847
484,0.942626321
485,0.942434183
486,0.942242057
487,0.942049944
488,0.941857845
489,0.941665761
490,0.941473693
491,0.941281642
492,0.941089609
493,0.940897594
494,0.940705599
495,0.940513625
496,0.940321672
497,0.940129742
498,0.939937835
499,0.939745952
500,0.939554095
501,0.939362263
502,0.939170458
503,0.938978681
504,0.938786933
505,0.938595214
506,0.938403525
507,0.938211867
508,0.938020241
509,0.937828649
510,0.937637089
511,0.937445564
512,0.937254075
513,0.937062621
514,0.936871204
515,0.936679825
516,0.936488484
517,0.936297183
518,0.936105921
519,0.9359147
520,0.935723521
521,0.935532383
522,0.935341289
523,0.935150238
524,0.934959232
525,0.934768271
526,0.934577356
527,0.934386487
528,0.934195666
529,0.934004893
530,0.933814168
531,0.933623493
