f,S21
0,NaN
1,1
2,0.999999997
3,0.999999985
4,0.999999954
5,0.999999888
6,0.999999767
7,0.999999569
8,0.999999265
9,0.999998824
10,0.999998212
11,0.999997391
12,0.999996321
13,0.999994962
14,0.999993271
15,0.999991206
16,0.999988724
17,0.999985784
18,0.999982344
19,0.999978363
20,0.999973802
21,0.999968622
22,0.999962787
23,0.999956263
24,0.999949014
25,0.999941011
26,0.999932222
27,0.99992262
28,0.999912179
29,0.999900874
30,0.999888683
31,0.999875585
32,0.999861561
33,0.999846594
34,0.99983067
35,0.999813773
36,0.999795893
37,0.999777019
38,0.999757142
39,0.999736255
40,0.999714351
41,0.999691426
42,0.999667478
43,0.999642502
44,0.9996165
45,0.99958947
46,0.999561414
47,0.999532335
48,0.999502235
49,0.999471118
50,0.999438989
51,0.999405854
52,0.999371719
53,0.999336591
54,0.999300478
55,0.999263388
56,0.99922533
57,0.999186312
58,0.999146345
59,0.999105439
60,0.999063605
61,0.999020853
62,0.998977195
63,0.998932641
64,0.998887205
65,0.998840898
66,0.998793732
67,0.99874572
68,0.998696874
69,0.998647207
70,0.998596733
71,0.998545463
72,0.998493412
73,0.998440592
74,0.998387016
75,0.998332698
76,0.998277651
77,0.998221888
78,0.998165423
79,0.998108268
80,0.998050437
81,0.997991943
82,0.9979328
83,0.997873019
84,0.997812615
85,0.997751599
86,0.997689985
87,0.997627786
88,0.997565014
89,0.997501682
90,0.997437801
91,0.997373385
92,0.997308446
93,0.997242994
94,0.997177044
95,0.997110605
96,0.99704369
97,0.996976311
98,0.996908478
99,0.996840203
100,0.996771498
101,0.996702372
102,0.996632837
103,0.996562903
104,0.996492581
105,0.996421881
106,0.996350814
107,0.996279389
108,0.996207616
109,0.996135505
110,0.996063066
111,0.995990308
112,0.995917241
113,0.995843873
114,0.995770213
115,0.995696271
116,0.995622055
117,0.995547573
118,0.995472835
119,0.995397847
120,0.99532262
121,0.995247159
122,0.995171474
123,0.995095571
124,0.99501946
125,0.994943146
126,0.994866637
127,0.994789941
128,0.994713064
129,0.994636013
130,0.994558796
131,0.994481418
132,0.994403886
133,0.994326207
134,0.994248387
135,0.994170432
136,0.994092348
137,0.994014141
138,0.993935817
139,0.993857381
140,0.993778839
141,0.993700197
142,0.99362146
143,0.993542633
144,0.993463721
145,0.993384729
146,0.993305663
147,0.993226526
148,0.993147325
149,0.993068063
150,0.992988745
151,0.992909375
152,0.992829959
153,0.992750499
154,0.992671001
155,0.992591468
156,0.992511904
157,0.992432314
158,0.9923527
159,0.992273068
160,0.99219342
161,0.992113761
162,0.992034093
163,0.99195442
164,0.991874745
165,0.991795073
166,0.991715405
167,0.991635745
168,0.991556097
169,0.991476463
170,0.991396846
171,0.991317249
172,0.991237675
173,0.991158127
174,0.991078607
175,0.990999118
176,0.990919663
