f,S21
0.32,0.994617182
0.321,0.994590385
0.322,0.994563591
0.323,0.994536798
0.324,0.994510008
0.325,0.99448322
0.326,0.994456436
0.327,0.994429654
0.328,0.994402876
0.329,0.994376102
0.33,0.994349332
0.331,0.994322566
0.332,0.994295804
0.333,0.994269047
0.334,0.994242296
0.335,0.994215549
0.336,0.994188808
0.337,0.994162073
0.338,0.994135343
0.339,0.99410862
0.34,0.994081903
0.341,0.994055192
0.342,0.994028488
0.343,0.994001792
0.344,0.993975102
0.345,0.99394842
0.346,0.993921746
0.347,0.993895079
0.348,0.993868421
0.349,0.993841771
0.35,0.99381513
0.351,0.993788497
0.352,0.993761873
0.353,0.993735258
0.354,0.993708652
0.355,0.993682056
0.356,0.993655469
0.357,0.993628892
0.358,0.993602325
0.359,0.993575769
0.36,0.993549222
0.361,0.993522687
0.362,0.993496161
0.363,0.993469647
0.364,0.993443144
0.365,0.993416652
0.366,0.993390172
0.367,0.993363702
0.368,0.993337245
0.369,0.993310799
0.37,0.993284366
0.371,0.993257944
0.372,0.993231535
0.373,0.993205138
0.374,0.993178754
0.375,0.993152383
0.376,0.993126024
0.377,0.993099679
0.378,0.993073346
0.379,0.993047027
0.38,0.993020722
0.381,0.99299443
0.382,0.992968152
0.383,0.992941887
0.384,0.992915637
0.385,0.9928894
0.386,0.992863178
0.387,0.99283697
0.388,0.992810777
0.389,0.992784598
0.39,0.992758434
0.391,0.992732284
0.392,0.99270615
0.393,0.992680031
0.394,0.992653927
0.395,0.992627838
0.396,0.992601764
0.397,0.992575706
0.398,0.992549664
0.399,0.992523637
0.4,0.992497626
0.401,0.992471631
0.402,0.992445652
0.403,0.992419689
0.404,0.992393742
0.405,0.992367812
0.406,0.992341898
0.407,0.992316
0.408,0.992290119
0.409,0.992264255
0.41,0.992238407
0.411,0.992212576
0.412,0.992186763
0.413,0.992160966
0.414,0.992135186
0.415,0.992109423
0.416,0.992083678
0.417,0.99205795
0.418,0.99203224
0.419,0.992006547
0.42,0.991980871
0.421,0.991955214
0.422,0.991929574
0.423,0.991903952
0.424,0.991878347
0.425,0.991852761
0.426,0.991827193
0.427,0.991801642
0.428,0.99177611
0.429,0.991750596
0.43,0.991725101
0.431,0.991699624
0.432,0.991674165
