f,S21
452,0.710272537
453,0.709706907
454,0.709141117
455,0.708575174
456,0.708009083
457,0.70744285
458,0.706876483
459,0.706309986
460,0.705743367
461,0.705176632
462,0.704609788
463,0.704042841
464,0.703475798
465,0.702908667
466,0.702341454
467,0.701774166
468,0.701206811
469,0.700639396
470,0.700071928
471,0.699504415
472,0.698936865
473,0.698369285
474,0.697801682
475,0.697234065
476,0.696666442
477,0.696098821
478,0.695531209
479,0.694963615
480,0.694396047
481,0.693828513
482,0.693261022
483,0.692693582
484,0.692126201
485,0.691558888
486,0.690991652
487,0.690424502
488,0.689857445
489,0.689290491
490,0.688723649
491,0.688156927
492,0.687590335
493,0.687023881
494,0.686457574
495,0.685891423
496,0.685325438
497,0.684759628
498,0.684194002
499,0.683628568
500,0.683063337
501,0.682498317
502,0.681933518
503,0.681368949
504,0.68080462
505,0.680240539
506,0.679676717
507,0.679113163
508,0.678549886
509,0.677986895
510,0.677424201
511,0.676861812
512,0.676299739
513,0.67573799
514,0.675176575
515,0.674615504
516,0.674054787
517,0.673494432
518,0.67293445
519,0.67237485
520,0.671815641
521,0.671256834
522,0.670698437
523,0.670140461
524,0.669582914
525,0.669025807
526,0.668469149
527,0.667912949
528,0.667357217
529,0.666801962
530,0.666247194
531,0.665692923
532,0.665139157
533,0.664585906
534,0.664033181
535,0.663480989
536,0.66292934
537,0.662378244
538,0.66182771
539,0.661277747
540,0.660728365
541,0.660179572
542,0.659631379
543,0.659083793
544,0.658536824
545,0.657990481
546,0.657444774
547,0.656899711
548,0.656355301
549,0.655811553
550,0.655268476
551,0.654726079
552,0.65418437
553,0.653643358
554,0.653103053
555,0.652563462
556,0.652024594
557,0.651486458
558,0.650949062
559,0.650412414
560,0.649876524
561,0.649341399
562,0.648807047
563,0.648273477
564,0.647740697
565,0.647208715
566,0.646677538
567,0.646147176
568,0.645617636
569,0.645088925
570,0.644561051
571,0.644034023
572,0.643507847
573,0.642982532
574,0.642458084
575,0.641934512
576,0.641411822
577,0.640890022
578,0.640369119
579,0.639849121
580,0.639330033
581,0.638811864
582,0.63829462
583,0.637778308
584,0.637262934
585,0.636748506
586,0.636235031
587,0.635722513
588,0.635210961
589,0.63470038
590,0.634190777
591,0.633682157
592,0.633174527
593,0.632667894
594,0.632162262
595,0.631657638
596,0.631154028
597,0.630651437
598,0.63014987
599,0.629649334
600,0.629149834
601,0.628651375
602,0.628153963
603,0.627657601
604,0.627162297
605,0.626668054
606,0.626174877
607,0.625682772
608,0.625191742
609,0.624701793
610,0.624212929
611,0.623725155
612,0.623238474
613,0.622752891
614,0.62226841
615,0.621785035
616,0.621302771
617,0.62082162
618,0.620341586
619,0.619862674
620,0.619384887
621,0.618908227
622,0.618432699
623,0.617958306
624,0.61748505
625,0.617012935
626,0.616541964
627,0.616072139
628,0.615603463
629,0.615135939
630,0.614669568
631,0.614204355
632,0.6137403
633,0.613277405
634,0.612815673
635,0.612355106
636,0.611895706
637,0.611437473
638,0.61098041
639,0.610524518
640,0.610069798
641,0.609616251
642,0.609163879
643,0.608712682
644,0.608262661
645,0.607813817
646,0.60736615
647,0.606919661
648,0.606474349
649,0.606030215
650,0.605587259
651,0.60514548
652,0.604704878
653,0.604265453
654,0.603827204
655,0.603390131
656,0.602954231
657,0.602519504
658,0.602085949
659,0.601653564
660,0.601222348
661,0.600792299
662,0.600363414
663,0.599935691
664,0.599509129
665,0.599083724
666,0.598659474
667,0.598236375
668,0.597814426
669,0.597393621
670,0.596973959
671,0.596555434
672,0.596138043
673,0.595721781
674,0.595306645
675,0.59489263
676,0.59447973
677,0.594067941
678,0.593657258
679,0.593247674
680,0.592839185
681,0.592431783
682,0.592025464
683,0.59162022
684,0.591216045
685,0.590812933
686,0.590410875
687,0.590009865
688,0.589609896
689,0.58921096
690,0.588813049
691,0.588416155
692,0.588020271
693,0.587625389
694,0.587231499
695,0.586838594
696,0.586446665
697,0.586055705
698,0.585665705
699,0.585276655
700,0.58488855
701,0.584501379
702,0.584115135
703,0.583729811
704,0.583345398
705,0.58296189
706,0.582579279
707,0.582197558
708,0.581816721
709,0.581436762
710,0.581057675
711,0.580679457
712,0.580302101
713,0.579925604
714,0.579549962
715,0.579175174
716,0.578801237
717,0.578428149
718,0.57805591
719,0.57768452
720,0.57731398
721,0.57694429
722,0.576575453
723,0.576207473
724,0.575840351
725,0.575474093
726,0.575108703
727,0.574744186
728,0.574380548
729,0.574017795
730,0.573655934
731,0.573294971
732,0.572934914
733,0.57257577
734,0.572217546
735,0.571860251
736,0.571503891
737,0.571148474
738,0.570794007
739,0.570440497
740,0.570087951
741,0.569736376
742,0.569385776
743,0.569036159
744,0.568687527
745,0.568339887
746,0.567993242
747,0.567647594
748,0.567302947
749,0.566959301
750,0.56661666
751,0.566275022
752,0.565934388
753,0.565594756
754,0.565256126
755,0.564918495
756,0.56458186
757,0.564246218
758,0.563911564
759,0.563577895
760,0.563245204
761,0.562913487
762,0.562582737
763,0.562252948
764,0.561924112
765,0.561596223
766,0.561269272
767,0.560943251
768,0.560618153
769,0.560293968
770,0.559970688
771,0.559648303
772,0.559326805
773,0.559006184
774,0.558686431
775,0.558367536
776,0.558049489
777,0.557732281
778,0.557415902
779,0.557100342
780,0.556785591
781,0.556471639
782,0.556158477
783,0.555846095
784,0.555534483
785,0.555223631
786,0.55491353
787,0.55460417
788,0.554295541
789,0.553987634
790,0.553680439
791,0.553373948
792,0.553068151
793,0.552763038
794,0.552458601
795,0.55215483
796,0.551851718
797,0.551549254
798,0.55124743
799,0.550946238
800,0.550645668
801,0.550345713
802,0.550046365
803,0.549747613
804,0.549449452
805,0.549151872
806,0.548854866
807,0.548558425
808,0.548262542
809,0.547967208
810,0.547672418
811,0.547378161
812,0.547084432
813,0.546791223
814,0.546498526
815,0.546206334
816,0.545914641
817,0.545623438
818,0.545332718
819,0.545042476
820,0.544752703
821,0.544463393
822,0.54417454
823,0.543886136
824,0.543598176
825,0.543310651
826,0.543023557
827,0.542736885
828,0.542450631
829,0.542164788
830,0.541879349
831,0.541594309
832,0.54130966
833,0.541025398
834,0.540741516
835,0.540458008
836,0.540174869
837,0.539892092
838,0.539609671
839,0.539327601
840,0.539045877
841,0.538764492
842,0.538483442
843,0.53820272
844,0.537922321
845,0.53764224
846,0.537362471
847,0.537083009
848,0.536803849
849,0.536524986
850,0.536246414
851,0.535968129
852,0.535690125
853,0.535412398
854,0.535134942
855,0.534857752
856,0.534580824
857,0.534304154
858,0.534027735
859,0.533751565
860,0.533475637
861,0.533199947
862,0.532924491
863,0.532649265
864,0.532374264
865,0.532099483
866,0.531824918
867,0.531550565
868,0.53127642
869,0.531002479
870,0.530728737
871,0.53045519
872,0.530181834
873,0.529908666
874,0.529635681
875,0.529362875
876,0.529090245
877,0.528817787
878,0.528545497
879,0.528273371
880,0.528001406
881,0.527729598
882,0.527457944
883,0.52718644
884,0.526915083
885,0.526643869
886,0.526372794
887,0.526101857
888,0.525831053
889,0.525560379
890,0.525289832
